,file_path,target,embedding
23,albums\anime\0609e683-161b-42ae-bb80-86cb52887da8.png,anime,[0. 0. 0. ... 0. 0. 0.]
24,albums\anime\064e98b2-bdc3-48a3-9872-4f1f086c03cc.png,anime,[0. 0. 0. ... 0. 0. 0.]
25,albums\anime\06679ada-f798-4d23-a33e-f4de5528d245.png,anime,[0.         0.         0.         ... 0.         0.04141891 0.        ]
26,albums\anime\066cc08f-cea5-490e-9b1c-9138121cf30c.png,anime,[ 5.410798  0.        0.       ...  0.       15.978512  0.      ]
27,albums\anime\06a0c9d4-2a6b-4ff8-95f7-2cd679b2f0d8.png,anime,[0. 0. 0. ... 0. 0. 0.]
28,albums\anime\06a6442b-42a6-41c2-8a77-968a5cb5b5ed.png,anime,[ 0.       26.397615  0.       ...  0.        7.850792  0.      ]
29,albums\anime\06be69af-a850-4275-b29a-f63dfabee998.png,anime,[0.        0.        0.        ... 0.        4.5508537 0.       ]
30,albums\anime\06e86c3c-9219-4477-8ef4-14b21a28e9e3.png,anime,[0.       0.       0.       ... 0.       3.653163 0.      ]
31,albums\anime\0701cf41-d30a-46d4-9c87-89434a9f78a9.png,anime,[0. 0. 0. ... 0. 0. 0.]
32,albums\anime\074326c9-f7bf-4aa4-878b-656a420fe10c.png,anime,[0.         0.         0.         ... 0.         0.         0.21820182]
33,albums\anime\078736c7-2597-452e-9930-7affe4696638.png,anime,[0.       0.       5.782126 ... 0.       0.       0.      ]
34,albums\anime\078b8473-29c8-417f-b51c-9979aa5cfba0.png,anime,[ 0.       0.      22.27004 ...  0.       0.       0.     ]
35,albums\anime\07ba979e-4595-4cf9-8836-612f3bee7393.png,anime,[31.964382  0.        0.       ...  0.       44.10299   0.      ]
36,albums\anime\0855096a-c4b5-4392-8a81-d36b989d46e8.png,anime,[ 0.        0.        0.       ...  0.       31.709078  0.      ]
37,albums\anime\0859665e-e262-4a08-8921-b4bebce58e81.png,anime,[0. 0. 0. ... 0. 0. 0.]
38,albums\anime\08968d1e-0c62-4628-95c2-f30e6a18a914.png,anime,[ 0.         0.         0.        ...  0.        15.1640415  0.       ]
39,albums\anime\091de2a6-1e14-475b-afc0-a68279fa8d9d.png,anime,[0. 0. 0. ... 0. 0. 0.]
40,albums\anime\092e2d54-56c8-4e72-97ab-a5c14be78b1d.png,anime,[ 0.        0.        0.       ...  0.       11.213365  0.      ]
41,albums\anime\09434599-d560-473d-9871-963b188570df.png,anime,[0. 0. 0. ... 0. 0. 0.]
42,albums\anime\09b51307-591d-4a88-a318-903ab1029e29.png,anime,[0. 0. 0. ... 0. 0. 0.]
43,albums\anime\09f783fd-3c99-4209-82c5-a9b386005c68.png,anime,[0.        0.        0.        ... 0.        0.9738474 3.2378342]
44,albums\anime\0adb4827-70f6-4ad8-85cb-ed31b3ddb304.png,anime,[0.         0.         0.         ... 0.         0.25679055 0.        ]
45,albums\anime\0af2beff-e004-4b1c-953a-f5dc2f4124a5.png,anime,[0. 0. 0. ... 0. 0. 0.]
46,albums\anime\0b3b033c-b26b-4aa7-a17d-8190cc9f98b6.png,anime,[0. 0. 0. ... 0. 0. 0.]
47,albums\anime\0b4c78ca-b3b2-45d4-84ac-f401cfe441d9.png,anime,[ 0.        0.        0.       ...  0.       16.448387  0.      ]
48,albums\anime\0b716e0d-cfc5-47d8-bf44-e81e80196400.png,anime,[0.        0.        0.        ... 0.        2.3982935 0.       ]
49,albums\anime\0b928751-d266-45c1-b04f-ae0c8a9441b3.png,anime,[ 0.       0.       0.      ...  0.      24.49503  0.     ]
50,albums\anime\0b9aae5b-c309-4dcb-9545-3aac30e8ee99.png,anime,[0. 0. 0. ... 0. 0. 0.]
51,albums\anime\0bc054bf-cb43-4472-84dd-aeb6bf7a0c4b.png,anime,[ 0.         0.        12.092902  ...  0.        12.647286   2.6720793]
52,albums\anime\0be39d4a-1ef7-41f8-8c52-14f285487891.png,anime,[ 0.       0.       0.      ...  0.      16.80906  0.     ]
53,albums\anime\0c43e6ff-73ea-49ad-b4ff-385d265707e4.png,anime,[0. 0. 0. ... 0. 0. 0.]
54,albums\anime\0caf5509-b15a-42bf-90fb-619e15152709.png,anime,[0.        0.        0.        ... 0.        2.1217234 0.       ]
55,albums\anime\0cc18364-ddc5-4481-8015-1bce9cf30c83.png,anime,[0. 0. 0. ... 0. 0. 0.]
56,albums\anime\0cce8ed4-9f83-4164-baf5-7451c48b3436.png,anime,[ 0.        0.        0.       ...  0.       16.566519  0.      ]
57,albums\anime\0cd18589-1a64-4cc9-8286-908f55930924.png,anime,[0.      0.      0.      ... 0.      0.      5.72056]
58,albums\anime\0d5a8d9e-f128-4a96-b144-2d21f90b5381.png,anime,[0. 0. 0. ... 0. 0. 0.]
59,albums\anime\0da3cc3e-957a-48fb-aeb1-4f94f642f9fb.png,anime,[ 0.        0.        0.       ...  8.896383  0.       16.624454]
60,albums\anime\0e3e669e-3635-4a12-881a-9d28ecbb3425.png,anime,[ 0.       0.       0.      ...  0.      28.98422  0.     ]
61,albums\anime\0e480c79-b3d4-4b02-a4e0-9349b74eaaef.png,anime,[0. 0. 0. ... 0. 0. 0.]
62,albums\anime\0e54a9da-8e2d-4d2a-a7ff-1c2d47c1fba7.png,anime,[0. 0. 0. ... 0. 0. 0.]
63,albums\anime\0ec12de8-78a6-4ea1-b5a5-b5749692cae1.png,anime,[ 0.       0.       0.      ...  0.      50.63814  0.     ]
64,albums\anime\0ed3bbd0-cd11-474f-b2c1-c3e2964f85c1.png,anime,[0. 0. 0. ... 0. 0. 0.]
65,albums\anime\0eeeb381-2218-44f6-92ae-06b72874b6ff.png,anime,[0. 0. 0. ... 0. 0. 0.]
66,albums\anime\0f778b47-93e1-43f4-8dfb-a94628ead1d2.png,anime,[ 0.        0.        0.       ... 25.730907 32.85775   0.      ]
67,albums\anime\0fc64033-a816-4cfc-b5a5-7c19ee3fae37.png,anime,[0.        0.        0.        ... 0.        2.3384395 0.       ]
68,albums\anime\0fceaa34-aba0-4353-b422-9c13f33cce8e.png,anime,[0.        0.        2.3286266 ... 0.        0.        0.       ]
69,albums\anime\0ff6e54b-4e01-4a06-920d-65f9962a011a.png,anime,[0. 0. 0. ... 0. 0. 0.]
70,albums\anime\103d5e4b-9388-4884-ac44-e2312901e5a3.png,anime,[0. 0. 0. ... 0. 0. 0.]
71,albums\anime\1058cc07-d4c0-4db2-8841-31f2daa0589a.png,anime,[0.        0.        5.6293783 ... 0.        7.570944  0.       ]
72,albums\anime\10b0e720-8d9e-4a79-ae22-46a50d392329.png,anime,[0.         0.         0.         ... 0.         0.05825168 0.        ]
73,albums\anime\10c1ad8b-d3b5-4649-af7a-6b0387ad66bc.png,anime,[0. 0. 0. ... 0. 0. 0.]
74,albums\anime\10cd8681-2311-4c31-9306-b37b210f2b37.png,anime,[0.       0.       0.       ... 0.       4.614016 0.      ]
75,albums\anime\10d9da17-1902-43d2-898e-ebc7563608bb.png,anime,[ 0.        0.        0.       ...  0.       22.865099  0.      ]
76,albums\anime\11455704-f06f-4617-80cb-809ee8da5460.png,anime,[0. 0. 0. ... 0. 0. 0.]
77,albums\anime\119f01f6-91a4-4955-9dde-99a5a3fe57f7.png,anime,[ 0.        0.        0.       ...  0.       28.071585  0.      ]
78,albums\anime\11cb1253-1835-4185-98ca-635b84591e13.png,anime,[  0.        0.        0.      ... 110.18771  34.42809  35.96696]
79,albums\anime\1220a1ee-a163-4282-a474-0983d47e3688.png,anime,[ 0.        0.        0.       ...  0.       17.465588 21.955616]
80,albums\anime\12937667-d807-41f9-be02-8fc7a5fc5107.png,anime,[0. 0. 0. ... 0. 0. 0.]
81,albums\anime\13226829-3f4e-4502-8cc4-9b8d0128b311.png,anime,[0. 0. 0. ... 0. 0. 0.]
82,albums\anime\134c3fca-a5a6-464c-98e0-f836d3b39881.png,anime,[ 0.        0.        0.       ...  0.       57.057076  0.      ]
83,albums\anime\13571945-4948-4e2d-86ac-858621e1cda2.png,anime,[0. 0. 0. ... 0. 0. 0.]
84,albums\anime\13a7816f-524a-4803-98a6-b6e3e564cdd2.png,anime,[ 0.        0.        0.       ...  0.       24.962173  0.      ]
85,albums\anime\13bc4eb2-e5d0-4bf8-bb6e-ef61b1007e6c.png,anime,[0.         0.         0.         ... 0.00125448 0.         0.        ]
86,albums\anime\13f559c6-6109-4f47-8ee5-583564d23af3.png,anime,[0. 0. 0. ... 0. 0. 0.]
87,albums\anime\140224d6-4bc6-4cf9-b19b-5310acc31a7f.png,anime,[0. 0. 0. ... 0. 0. 0.]
88,albums\anime\1428d0be-ebc6-4e2b-bf2a-1bd08a7baaaa.png,anime,[0.        0.        2.048784  ... 0.        6.5105815 0.       ]
89,albums\anime\14a2e750-8f9c-4b25-8fdc-2ade240458b0.png,anime,[ 0.        0.        0.       ...  0.       40.283607  0.      ]
90,albums\anime\14d67f62-79f7-4986-b27b-7d60e41f0c87.png,anime,[0. 0. 0. ... 0. 0. 0.]
91,albums\anime\14f0f4dd-4832-49b9-aef5-22a7a0561fe8.png,anime,[0. 0. 0. ... 0. 0. 0.]
92,albums\anime\152a16da-9781-4258-adc0-2139f66a2695.png,anime,[24.383104   0.         0.        ...  0.         0.7685222  0.       ]
93,albums\anime\15acc6d6-197d-4192-adce-853b6a49d9ab.png,anime,[0. 0. 0. ... 0. 0. 0.]
94,albums\anime\15cd198f-f97c-4fdf-a66a-dc5fde0e6a04.png,anime,[0. 0. 0. ... 0. 0. 0.]
95,albums\anime\16072b25-550c-43b3-9cd3-6f575ec0a0ee.png,anime,[ 0.        0.        0.       ...  0.       22.865099  0.      ]
96,albums\anime\167dc98d-6bfe-407e-932c-06b065aeda3d.png,anime,[0. 0. 0. ... 0. 0. 0.]
97,albums\anime\1693e252-be16-468b-b8c1-c76a2562a710.png,anime,[0. 0. 0. ... 0. 0. 0.]
98,albums\anime\16dfe6f6-e21b-4061-9df1-8369607f4254.png,anime,[0. 0. 0. ... 0. 0. 0.]
99,albums\anime\170c8602-af6e-4a37-a570-a5622e7af1f9.png,anime,[0. 0. 0. ... 0. 0. 0.]
100,albums\anime\171f5c59-d4ae-417d-a72b-fb4f191b81e6.png,anime,[ 0.        0.        0.       ...  0.       22.196709  0.      ]
101,albums\anime\1725bfdc-7a49-494c-80a3-d06e9881c7b9.png,anime,[ 0.       0.       0.      ...  0.      12.72902  0.     ]
102,albums\anime\173ff390-f4f0-4ee6-bb21-2fcc377d55c6.png,anime,[0. 0. 0. ... 0. 0. 0.]
103,albums\anime\177659ee-3323-4076-a5b0-f113c115e4c7.png,anime,[0.        0.        0.        ... 0.        6.6687226 0.       ]
104,albums\anime\186ca9a7-5fe2-49bc-a3df-708379fe8a03.png,anime,[0.      9.41381 0.      ... 0.      8.41865 0.     ]
105,albums\anime\18897fed-e66e-4bbf-a716-83e4cf278873.png,anime,[ 0.        0.        0.       ... 13.324399  0.        0.      ]
106,albums\anime\18fcf783-a477-4f0f-89ef-70988cfc8240.png,anime,[0. 0. 0. ... 0. 0. 0.]
107,albums\anime\191e6b5b-e1a6-4b25-9e15-b48770ffc025.png,anime,[0. 0. 0. ... 0. 0. 0.]
108,albums\anime\195a755e-dcce-4967-9033-669210bca716.png,anime,[17.822014  0.       59.27489  ...  0.        0.        0.      ]
109,albums\anime\19a9dac6-9d7f-48bf-b813-36955e22518c.png,anime,[0. 0. 0. ... 0. 0. 0.]
110,albums\anime\19c1d2d3-35ca-4bb6-92dd-2228800d90d1.png,anime,[ 0.        0.        0.       ...  0.       11.415808  0.      ]
111,albums\anime\1a480510-de66-42da-bad9-cabaed757698.png,anime,[0. 0. 0. ... 0. 0. 0.]
112,albums\anime\1a98a63c-83ee-4047-b368-84aff4bfe0f8.png,anime,[0. 0. 0. ... 0. 0. 0.]
113,albums\anime\1ad3dcdf-a04a-42a1-9014-ebfbdae60882.png,anime,[0. 0. 0. ... 0. 0. 0.]
114,albums\anime\1aef1afc-22b5-454a-8bae-b5826753eb95.png,anime,[ 0.        0.        0.       ...  0.       45.038036  0.      ]
115,albums\anime\1af6cee0-0f4f-484d-9f53-479a4e06a603.png,anime,[ 0.        0.        0.       ...  0.       28.311504 13.463011]
116,albums\anime\1b1947f0-43ee-4bd8-b122-d30c28facbcc.png,anime,[ 0.        0.        0.       ...  0.       15.879792  0.      ]
117,albums\anime\1b25ee0a-27dd-43c9-bca8-06790673fa5d.png,anime,[ 0.        0.        0.       ...  0.       10.592224  0.      ]
118,albums\anime\1b3508e2-d43e-41a4-922d-f1c51d71a999.png,anime,[ 0.        0.        0.       ... 16.704557  0.        0.      ]
119,albums\anime\1b622825-794f-4fc0-839e-e97f9e1f2fb7.png,anime,[0. 0. 0. ... 0. 0. 0.]
120,albums\anime\1b93164c-225b-4e54-bce7-be0a81943789.png,anime,[0.       0.       0.       ... 0.       7.469686 0.      ]
121,albums\anime\1c0ae0ce-b280-4259-8574-6e737986155d.png,anime,[0. 0. 0. ... 0. 0. 0.]
122,albums\anime\1cad11de-0c53-4d60-b164-9e6bb749db99.png,anime,[ 0.       0.       0.      ...  0.       0.      12.41195]
123,albums\anime\1cd1183d-bb08-496f-a27f-9833a1760f8c.png,anime,[0.        0.        0.        ... 0.        0.        2.3083277]
124,albums\anime\1cee2bc5-cb72-4107-a398-3d5fb487d267.png,anime,[ 0.        0.        0.       ...  0.       15.238399  0.      ]
125,albums\anime\1d39c9c2-47e0-4b72-a704-ce90a978e247.png,anime,[0.      0.      0.      ... 0.      8.36071 0.     ]
126,albums\anime\1d662084-6b7a-4a06-93c4-6d125071a082.png,anime,[0. 0. 0. ... 0. 0. 0.]
127,albums\anime\1d7537e2-5f0a-485a-bb0f-e9af298a81f8.png,anime,[0. 0. 0. ... 0. 0. 0.]
128,albums\anime\1dcc3a73-f234-4823-93ab-bf011c5ccfe6.png,anime,[ 0.       0.       0.      ...  0.      21.47311  0.     ]
129,albums\anime\1e0c3691-b236-49c1-b3e4-9f78fb3502a9.png,anime,[ 0.        0.       16.205658 ...  0.        0.        0.      ]
130,albums\anime\1e284279-e611-4136-b6e3-4292a25183ed.png,anime,[0. 0. 0. ... 0. 0. 0.]
131,albums\anime\1e3bce20-f8bb-4669-a905-9472926634f2.png,anime,[0.        0.        0.        ... 0.        6.1705856 0.       ]
132,albums\anime\1f26101d-e219-4d9d-80ef-2e78565e84f2.png,anime,[ 0.       18.100422  0.       ...  0.       15.174433  0.      ]
133,albums\anime\1f66a238-9afd-40f1-924e-aa964ca2af62.png,anime,[0. 0. 0. ... 0. 0. 0.]
134,albums\anime\1fab567c-1901-4803-8b2d-11e37a2159a4.png,anime,[0. 0. 0. ... 0. 0. 0.]
135,albums\anime\1fb06435-b537-48ec-a69c-f3edcf3b531f.png,anime,[0. 0. 0. ... 0. 0. 0.]
136,albums\anime\204791e3-b0a4-4b96-9c9f-a1b0cca58d63.png,anime,[0. 0. 0. ... 0. 0. 0.]
137,albums\anime\205f9992-4f0b-4650-bf63-70180ed7ec73.png,anime,[9.181726 0.       0.       ... 0.       0.       0.      ]
138,albums\anime\206ae13a-b8b1-4150-ae72-90ef42dfb199.png,anime,[0.        0.        0.        ... 0.        4.0352416 5.873451 ]
139,albums\anime\206dd5ba-0b7c-4b52-b18d-6601977da050.png,anime,[0. 0. 0. ... 0. 0. 0.]
140,albums\anime\207feb70-0f07-4cdf-a867-35abb6c42fa4.png,anime,[0. 0. 0. ... 0. 0. 0.]
141,albums\anime\209e082f-c0f6-36b2-8f45-9e0b61494686.png,anime,[0. 0. 0. ... 0. 0. 0.]
142,albums\anime\20db0bba-933d-47de-bd45-4b96c9f7a5a4.png,anime,[0. 0. 0. ... 0. 0. 0.]
143,albums\anime\20e4ba3c-8f05-4b42-b0f2-a40199ad6ae0.png,anime,[25.004839  0.        0.       ...  0.       38.238205  0.      ]
144,albums\anime\20ebc161-7e2e-4528-9a19-9102014d3650.png,anime,[ 0.         0.         0.        ...  0.        12.510109  14.2551155]
145,albums\anime\20f0f137-4813-4218-a3c4-1c17ceaffc74.png,anime,[ 0.        0.        0.       ...  0.       39.958824  0.      ]
146,albums\anime\20fa8876-2afe-4487-9f07-f38778b99831.png,anime,[ 0.        0.       58.598686 ...  0.        0.        0.      ]
147,albums\anime\210ad90d-52a5-466c-8cc4-f1c797d83d9a.png,anime,[0.       0.       0.       ... 0.       9.762588 0.      ]
148,albums\anime\2190191c-e6c6-47c3-be22-f27563f4eb9d.png,anime,[0. 0. 0. ... 0. 0. 0.]
149,albums\anime\2192f289-15e5-4f3e-bf12-5bacdbc5b127.png,anime,[0.        0.        0.        ... 0.        0.5994583 0.       ]
150,albums\anime\21eaae6f-f194-4b5c-ae55-9ab9312d1293.png,anime,[ 0.        0.        0.       ...  0.       19.508865  0.      ]
151,albums\anime\21fd001f-391b-47b1-8937-ccaec3b8f21d.png,anime,[0.        0.        0.        ... 0.        0.        1.3892313]
152,albums\anime\21fffc90-b2f4-4690-b983-f1c9371d09f4.png,anime,[0.        0.        0.        ... 0.        2.6547608 0.       ]
153,albums\anime\2243e883-5a10-4b9e-a394-713938bbecae.png,anime,[ 0.       0.       0.      ...  0.      12.82455  0.     ]
154,albums\anime\2243f809-6452-476f-839a-77b54f468d32.png,anime,[0.       0.       0.       ... 0.       8.312839 0.      ]
155,albums\anime\22b35076-0a85-49e9-a8d4-4f322e0d1bc9.png,anime,[ 0.        0.        0.       ...  0.       14.384188  0.      ]
156,albums\anime\22ddcc28-5333-4a2d-95ec-9ae201741a1e.png,anime,[ 0.        0.        0.       ...  0.       15.088398  0.      ]
157,albums\anime\22de7acb-80e1-470b-9132-9eac87b6ee87.png,anime,[0. 0. 0. ... 0. 0. 0.]
158,albums\anime\22f12c88-f355-44b6-8786-cff3eb2bc23b.png,anime,[0.        0.        0.        ... 0.        1.6537576 0.       ]
159,albums\anime\23481d53-a4b6-4f2f-906f-8642700c4712.png,anime,[ 0.        0.        0.       ...  0.       15.770474  0.      ]
160,albums\anime\23a65742-5f93-46e1-814e-c268b8b2aafa.png,anime,[ 0.         0.         0.        ...  2.6337712  0.        19.303707 ]
161,albums\anime\242a4cdc-8bc2-49e4-808c-d69c0be9d2b3.png,anime,[ 0.        0.       16.861328 ...  0.        0.        0.      ]
162,albums\anime\24316a16-8747-4c94-be9b-1003ba6dcafe.png,anime,[0.       0.       0.       ... 0.       4.687311 0.      ]
163,albums\anime\2436359b-73fe-4747-8788-6cf500606c2f.png,anime,[ 0.        0.       10.346919 ...  0.        0.        0.      ]
164,albums\anime\249fffc4-ef30-4f52-85a9-f193c3454fce.png,anime,[0. 0. 0. ... 0. 0. 0.]
165,albums\anime\24cc075d-adee-4e87-b9c6-65e3db81ee0c.png,anime,[ 0.    0.    0.   ...  0.   33.85  0.  ]
166,albums\anime\24dcea22-a1e5-4f13-9f23-4c8986f4914a.png,anime,[0. 0. 0. ... 0. 0. 0.]
167,albums\anime\24eb47d3-1e3e-47c1-b2eb-f09f96b9344a.png,anime,[0.       0.       0.       ... 0.       8.638318 0.      ]
168,albums\anime\253241e5-2259-4af3-9029-c3ed3b861465.png,anime,[0. 0. 0. ... 0. 0. 0.]
169,albums\anime\2554d092-7613-4340-a26b-311155c4f6b5.png,anime,[0. 0. 0. ... 0. 0. 0.]
170,albums\anime\25e4a349-3e6d-4f6b-b943-7954839856de.png,anime,[0. 0. 0. ... 0. 0. 0.]
171,albums\anime\2600495e-acd4-4bb1-958c-72194d0d7993.png,anime,[ 0.        0.        0.       ...  0.       12.517515  0.      ]
172,albums\anime\2620cf72-5df7-3131-8a1b-3fc8283d0ca7.png,anime,[0. 0. 0. ... 0. 0. 0.]
173,albums\anime\26466f59-3251-46ed-be37-78f9730ff1fb.png,anime,[0.        0.        0.        ... 9.676268  0.        1.0609878]
174,albums\anime\2665ecec-9189-4338-9036-98ad69c313d8.png,anime,[ 0.        0.        0.       ...  0.       14.807627  0.      ]
175,albums\anime\2697f60f-a603-4981-b5b4-11312f1b8eca.png,anime,[ 0.       59.778725 15.003488 ...  0.        0.        0.      ]
176,albums\anime\26bc344c-a03d-410f-9be3-3fbc40597678.png,anime,[0. 0. 0. ... 0. 0. 0.]
177,albums\anime\26c7311a-f080-4e1b-8c37-cbe889fa5e6c.png,anime,[0. 0. 0. ... 0. 0. 0.]
178,albums\anime\277e395e-c273-42ae-87ae-1ff6c6ace0a0.png,anime,[ 0.        0.        0.       ...  0.       35.175667  0.      ]
179,albums\anime\27ef5cea-7846-4263-86e2-a3862a164f7f.png,anime,[0. 0. 0. ... 0. 0. 0.]
180,albums\anime\281b7590-dee0-4118-93df-452a8d9fbe24.png,anime,[ 0.        0.        0.       ...  0.       12.809209  0.      ]
181,albums\anime\283daa5f-b263-4ecd-a9dd-f75ed496d1f7.png,anime,[0. 0. 0. ... 0. 0. 0.]
182,albums\anime\287cc606-a867-47f5-b210-57641d585564.png,anime,[ 0.        0.        0.       ...  0.       19.506947  0.      ]
183,albums\anime\28b9ac0f-adce-4a38-9d26-9e5cfc428093.png,anime,[0.        0.        0.        ... 0.        6.4709654 0.       ]
184,albums\anime\28d54bb8-ccc6-441a-8080-0b7c6336f3ec.png,anime,[0. 0. 0. ... 0. 0. 0.]
185,albums\anime\28d733dc-0c77-4569-bf81-7ac763a5f752.png,anime,[ 0.        0.        0.       ...  0.       37.482037  0.      ]
186,albums\anime\29358792-2a8e-470a-a3f3-c9b5995510ea.png,anime,[0. 0. 0. ... 0. 0. 0.]
187,albums\anime\2979c5d1-7b08-4be0-bd77-04162d7ba089.png,anime,[0. 0. 0. ... 0. 0. 0.]
188,albums\anime\29a2908f-1619-4533-a67b-c728f1f5bec9.png,anime,[0. 0. 0. ... 0. 0. 0.]
189,albums\anime\29e940ba-9ac0-48d8-b4c2-327a30aeecbd.png,anime,[0. 0. 0. ... 0. 0. 0.]
190,albums\anime\29ee5c7d-a559-4d36-9ad4-b66ea5408559.png,anime,[0.       0.       0.       ... 0.       9.988979 0.      ]
191,albums\anime\2a1baee6-f4f2-4756-a4fb-a144e4587215.png,anime,[ 0.        0.        0.       ...  0.       40.987404  0.      ]
192,albums\anime\2a263a19-83be-40fe-a8b3-c614d95a9e33.png,anime,[ 0.        0.        0.       ...  0.       15.012972  0.      ]
193,albums\anime\2ac80d6d-f6a6-45b4-95a0-15ca85674c09.png,anime,[0.        0.        0.        ... 0.        7.7616644 0.       ]
194,albums\anime\2ad0ec86-bc06-46a4-8f55-e8dc945049c4.png,anime,[ 0.        0.        0.       ...  0.        0.       10.593417]
195,albums\anime\2b0e7fe6-bd13-4ccc-90bd-753b6718a606.png,anime,[ 0.        0.        0.       ... 22.779089  0.        0.      ]
196,albums\anime\2be98377-41be-4f7b-ac2f-3da231e0a1a9.png,anime,[0.        0.        5.1261454 ... 0.        0.        0.       ]
197,albums\anime\2bee2416-d9da-459e-8e87-06e0fa7c6e9e.png,anime,[ 0.        0.        0.       ... 19.789808  0.        0.      ]
198,albums\anime\2c179c1e-da69-4171-9699-c84bac13cab4.png,anime,[27.954144  0.        0.       ...  0.        0.        0.      ]
199,albums\anime\2c4ef92b-2491-4394-9e08-2bbc34d44f57.png,anime,[0.        0.        0.        ... 0.        2.7350214 0.       ]
200,albums\anime\2c5059f7-db4b-41c4-a991-0d3d9e915643.png,anime,[ 0.         0.         0.        ... 12.0166445  0.         0.       ]
201,albums\anime\2c50b16d-85f8-4581-a4fd-0d1c79a051b9.png,anime,[ 0.        0.        0.       ...  0.       21.420872  0.      ]
202,albums\anime\2caa5b83-d767-44aa-a47a-9261fb5655e7.png,anime,[12.453949  0.        0.       ...  0.        0.        0.      ]
203,albums\anime\2d8b237a-af67-4ff7-9f6a-eb0d8940badd.png,anime,[0. 0. 0. ... 0. 0. 0.]
204,albums\anime\2d909110-8c04-40bd-a973-5104a7e1947c.png,anime,[44.881817  0.        0.       ...  0.        0.        0.      ]
205,albums\anime\2dbce677-e27f-37d8-9c45-125e9e79a41c.png,anime,[0. 0. 0. ... 0. 0. 0.]
206,albums\anime\2dfc2a1d-393a-3d33-9ed8-e5d198805a42.png,anime,[0.        0.        0.        ... 0.        7.9075227 0.       ]
207,albums\anime\2e02e554-3b01-4255-9295-f7f967d0f52a.png,anime,[0. 0. 0. ... 0. 0. 0.]
208,albums\anime\2e408981-c2bd-4b4f-97e5-236125f4f446.png,anime,[0. 0. 0. ... 0. 0. 0.]
209,albums\anime\2e983214-4972-4b2c-8ba0-7671c6e05ad4.png,anime,[0.       0.       0.       ... 0.       5.948202 0.      ]
210,albums\anime\2ea3b80a-fe43-43bc-925c-17d0fcfa0a05.png,anime,[0. 0. 0. ... 0. 0. 0.]
211,albums\anime\2ebcc920-836e-49d9-8048-da20c521d015.png,anime,[0.        0.        0.        ... 0.        0.7913535 0.       ]
